platform,name,zscore_combined,openssf_badge_tiered_percentage
npm,ansi-escapes,0.129606095,Not Participating
npm,colors,0.126658187,Not Participating
npm,cosmiconfig,0.123288084,Not Participating
npm,hoek,0.121293119,Not Participating
npm,regexpu-core,0.113542003,Not Participating
npm,load-json-file,0.110570822,Not Participating
npm,content-disposition,0.108588489,Not Participating
npm,node-pre-gyp,0.107285291,Not Participating
npm,pinkie-promise,0.104000621,Not Participating
npm,normalize-url,0.102499518,Not Participating
npm,follow-redirects,0.101439856,Not Participating
npm,get-stdin,0.099969577,Not Participating
npm,nopt,0.098297255,Not Participating
npm,moment,0.096192604,Not Participating
npm,has-symbols,0.095832715,Not Participating
npm,bcrypt-pbkdf,0.095827154,Not Participating
npm,is-typedarray,0.082946678,Not Participating
npm,memory-fs,0.080255838,Not Participating
npm,for-in,0.079823588,Not Participating
npm,bl,0.074197129,Not Participating
npm,psl,0.074023663,Not Participating
npm,shebang-command,0.073467851,Not Participating
npm,verror,0.071680943,Not Participating
npm,onetime,0.071343911,Not Participating
npm,ecc-jsbn,0.062309204,Not Participating
npm,graceful-readlink,0.058073941,Not Participating
npm,deep-extend,0.056733365,Not Participating
npm,duplexify,0.04771431,Not Participating
npm,escape-html,0.046730932,Not Participating
npm,dashdash,0.046694887,Not Participating
npm,har-schema,0.045920864,Not Participating
npm,lodash.values,0.045421155,Not Participating
npm,splice-string,0.045421155,Not Participating
npm,lodash.toarray,0.045421155,Not Participating
npm,lodash._basevalues,0.045421155,Not Participating
npm,loose-envify,0.044421399,Not Participating
npm,component-emitter,0.044090519,Not Participating
npm,tar,0.043775612,Not Participating
npm,through,0.043417083,Not Participating
npm,getpass,0.04319554,Not Participating
npm,postcss-value-parser,0.039738344,Not Participating
npm,abbrev,0.039281611,Not Participating
npm,q,0.03777737,Not Participating
npm,expand-brackets,0.03478418,Not Participating
npm,ignore,0.034711542,Not Participating
npm,json-schema,0.032401909,Not Participating
npm,ee-first,0.03200359,Not Participating
npm,os-homedir,0.031956581,Not Participating
npm,assign-symbols,0.031353566,Not Participating
npm,dot,0.028232893,Not Participating
npm,get-caller-file,0.026601312,Not Participating
npm,encodeurl,0.022685935,Not Participating
npm,utils-merge,0.022207623,Not Participating
npm,parse-passwd,0.019638761,Not Participating
npm,content-type,0.017030824,Not Participating
npm,decamelize,0.016635388,Not Participating
npm,boom,0.014268291,Not Participating
npm,jsonfile,0.013717478,Not Participating
npm,asynckit,0.012622816,Not Participating
npm,ajv-keywords,0.012592859,Not Participating
npm,tmp,0.008229158,Not Participating
npm,proxy-addr,0.006903463,Not Participating
npm,sliced,0.005184996,Not Participating
npm,unpipe,0.004324073,Not Participating
npm,methods,0.003768098,Not Participating
npm,source-map-resolve,0.002931138,Not Participating
npm,cacache,0.002595039,Not Participating
npm,inquirer,0.001741529,Not Participating
npm,tr46,0.001707817,Not Participating
npm,object.assign,0.00051494,Not Participating
npm,cookie-signature,0.000378772,Not Participating
npm,binary-extensions,-0.003278056,Not Participating
npm,p-map,-0.004026396,Not Participating
npm,json-stringify-safe,-0.008402715,Not Participating
npm,etag,-0.015558012,Not Participating
npm,sockjs,-0.015869278,Not Participating
npm,forever-agent,-0.016792624,Not Participating
npm,cryptiles,-0.019250158,Not Participating
npm,destroy,-0.019654084,Not Participating
npm,xmlbuilder,-0.021407712,Not Participating
npm,spdx-exceptions,-0.02151641,Not Participating
npm,use,-0.022228075,Not Participating
npm,rc,-0.023640422,Not Participating
npm,jsprim,-0.024446715,Not Participating
npm,to-fast-properties,-0.02644967,Not Participating
npm,media-typer,-0.027847096,Not Participating
npm,file-type,-0.028024092,Not Participating
npm,isstream,-0.029287515,Not Participating
npm,is-absolute,-0.031535383,Not Participating
npm,is-relative,-0.031535383,Not Participating
npm,unc-path-regex,-0.031535383,Not Participating
npm,is-unc-path,-0.031535383,Not Participating
npm,set-value,-0.032659687,Not Participating
npm,on-finished,-0.034847854,Not Participating
npm,snapdragon,-0.035233294,Not Participating
npm,dom-serializer,-0.035534695,Not Participating
npm,is-windows,-0.037517887,Not Participating
npm,slash,-0.040702214,Not Participating
npm,lodash.isstring,-0.040807012,Not Participating
npm,base,-0.04131627,Not Participating
npm,is-binary-path,-0.042911258,Not Participating
npm,sshpk,-0.044168229,Not Participating
npm,object-inspect,-0.046400962,Not Participating
npm,set-blocking,-0.047865546,Not Participating
npm,is-regex,-0.048223404,Not Participating
npm,normalize-package-data,-0.04980862,Not Participating
npm,es-to-primitive,-0.050844147,Not Participating
npm,typescript,-0.051601927,Not Participating
npm,forwarded,-0.05238818,Not Participating
npm,@babel/preset-env,-0.052457757,27
npm,asap,-0.053178326,Not Participating
npm,cache-base,-0.055821261,Not Participating
npm,underscore,-0.060838887,Not Participating
npm,mimic-response,-0.061163562,Not Participating
npm,user-home,-0.061614842,Not Participating
npm,call-bind,-0.062110492,Not Participating
npm,write-file-atomic,-0.063203489,Not Participating
npm,homedir-polyfill,-0.063568053,Not Participating
npm,@babel/helper-split-export-declaration,-0.065065282,27
npm,url,-0.067424573,Not Participating
npm,toidentifier,-0.067718231,Not Participating
npm,agent-base,-0.068696846,Not Participating
npm,whatwg-fetch,-0.073088667,Not Participating
npm,fbjs,-0.073333877,Not Participating
npm,amdefine,-0.073475124,Not Participating
npm,atob,-0.074755681,Not Participating
npm,p-cancelable,-0.076885992,Not Participating
npm,htmlparser2,-0.080171775,Not Participating
npm,lowercase-keys,-0.081828396,Not Participating
npm,get-value,-0.0859985,Not Participating
npm,remove-trailing-separator,-0.086037145,Not Participating
npm,pako,-0.0876536,Not Participating
npm,os-locale,-0.087717777,Not Participating
npm,escodegen,-0.087812332,Not Participating
npm,diff,-0.088541011,Not Participating
npm,repeat-element,-0.089844586,Not Participating
npm,is-symbol,-0.090041969,Not Participating
npm,npmlog,-0.090964913,Not Participating
npm,union-value,-0.091982776,Not Participating
npm,doctrine,-0.092697254,Not Participating
npm,domhandler,-0.093139559,Not Participating
npm,is-wsl,-0.094262288,Not Participating
npm,popper.js,-0.094372182,Not Participating
npm,xml2js,-0.094464222,Not Participating
npm,get-intrinsic,-0.094481369,Not Participating
npm,https-proxy-agent,-0.095058684,Not Participating
npm,terser,-0.0969033,Not Participating
npm,tapable,-0.099149978,Not Participating
npm,npm-run-path,-0.099158011,Not Participating
npm,universalify,-0.099502519,Not Participating
